PointID,Class,Epoch,Easting,Northing,Ellip Height,Position Q,Height Q,3D Q
QHI PIN 2017 TR2,Control,06/28/2017 13:34:20,581163.350,7719248.239,-2.226,0.000,0.000,0.000
CHHER-TEA00,Measured,07/18/2017 23:12:15,583140.066,7720046.510,72.268,0.007,0.014,0.015
CHHER-TEA01,Measured,07/18/2017 23:12:30,583140.033,7720046.628,72.249,0.007,0.012,0.014
CHHER-TEA02,Measured,07/18/2017 23:12:51,583140.181,7720046.656,72.256,0.007,0.013,0.015
CHHER-TEA03,Measured,07/18/2017 23:13:09,583140.346,7720046.591,72.381,0.008,0.016,0.018
CHHER-TEA04,Measured,07/18/2017 23:13:26,583140.372,7720046.262,72.225,0.006,0.012,0.013
CHHER-TEA05,Measured,07/18/2017 23:13:45,583140.103,7720046.037,72.331,0.009,0.017,0.019
CHHER-TEA06,Measured,07/18/2017 23:14:06,583139.652,7720045.915,72.362,0.006,0.012,0.013
CHHER-TEA07,Measured,07/18/2017 23:14:35,583139.101,7720046.470,72.192,0.007,0.014,0.015
CHHER-TEA08,Measured,07/18/2017 23:15:10,583138.632,7720047.468,72.300,0.008,0.016,0.018
CHHER-TEA09,Measured,07/18/2017 23:15:32,583139.737,7720048.976,72.256,0.010,0.018,0.021
CHHER-TEA10,Measured,07/18/2017 23:16:03,583142.922,7720050.467,72.354,0.008,0.014,0.016
CHHER-TEA11,Measured,07/18/2017 23:16:21,583147.328,7720048.196,72.503,0.009,0.016,0.019
CHHER-TEA12,Measured,07/18/2017 23:16:42,583147.881,7720040.512,72.189,0.010,0.019,0.022
CHHER-TEA13,Measured,07/18/2017 23:17:04,583140.978,7720034.101,71.925,0.009,0.017,0.019
CHHER-TEA14,Measured,07/18/2017 23:17:25,583131.870,7720034.066,71.947,0.008,0.017,0.019
CHHER-TEA15,Measured,07/18/2017 23:17:54,583122.738,7720045.300,72.154,0.009,0.018,0.020
CHHER-TEA16,Measured,07/18/2017 23:18:21,583123.642,7720057.830,72.512,0.009,0.017,0.019
CHHER-TEA17,Measured,07/18/2017 23:18:52,583137.450,7720068.806,72.754,0.008,0.016,0.018
CHHER-TEA18,Measured,07/18/2017 23:19:39,583164.194,7720052.510,72.569,0.008,0.015,0.017
CHHER-TEA19,Measured,07/18/2017 23:20:22,583140.989,7720034.100,71.951,0.008,0.015,0.017
CHHER-TEA20,Measured,07/18/2017 23:21:09,583115.305,7720044.709,71.999,0.008,0.015,0.017
CHKOM-TEA00,Measured,07/18/2017 22:50:28,582991.209,7720006.838,67.786,0.006,0.011,0.013
CHKOM-TEA01,Measured,07/18/2017 22:50:44,582991.158,7720006.955,67.780,0.005,0.010,0.012
CHKOM-TEA02,Measured,07/18/2017 22:50:59,582991.243,7720007.041,67.726,0.006,0.012,0.014
CHKOM-TEA03,Measured,07/18/2017 22:51:13,582991.511,7720006.938,67.750,0.010,0.019,0.021
CHKOM-TEA04,Measured,07/18/2017 22:51:27,582991.534,7720006.650,67.730,0.006,0.012,0.013
CHKOM-TEA05,Measured,07/18/2017 22:51:40,582991.249,7720006.344,67.696,0.006,0.011,0.013
CHKOM-TEA06,Measured,07/18/2017 22:51:53,582990.726,7720006.234,67.729,0.009,0.017,0.019
CHKOM-TEA07,Measured,07/18/2017 22:52:05,582990.195,7720006.629,67.740,0.006,0.012,0.014
CHKOM-TEA08,Measured,07/18/2017 22:52:26,582989.624,7720007.721,67.736,0.006,0.011,0.013
CHKOM-TEA09,Measured,07/18/2017 22:52:42,582990.677,7720009.333,67.881,0.006,0.012,0.013
CHKOM-TEA10,Measured,07/18/2017 22:53:05,582993.732,7720011.094,68.021,0.007,0.014,0.016
CHKOM-TEA11,Measured,07/18/2017 22:53:25,582998.498,7720008.585,68.004,0.007,0.013,0.015
CHKOM-TEA12,Measured,07/18/2017 22:53:44,582999.896,7720002.133,68.204,0.007,0.014,0.016
CHKOM-TEA13,Measured,07/18/2017 22:54:18,582993.359,7719994.599,67.912,0.007,0.014,0.015
CHKOM-TEA14,Measured,07/18/2017 22:54:42,582983.556,7719993.929,67.303,0.007,0.013,0.015
CHKOM-TEA15,Measured,07/18/2017 22:55:07,582974.189,7720003.068,67.023,0.007,0.013,0.015
CHKOM-TEA16,Measured,07/18/2017 22:55:36,582973.669,7720016.480,67.025,0.006,0.011,0.012
CHKOM-TEA17,Measured,07/18/2017 22:56:05,582987.372,7720029.019,67.557,0.010,0.020,0.022
CHKOM-TEA18,Measured,07/18/2017 22:56:56,583015.449,7720012.650,68.843,0.007,0.014,0.015
CHKOM-TEA19,Measured,07/18/2017 22:57:43,582995.897,7719979.897,67.561,0.007,0.013,0.014
CHKOM-TEA20,Measured,07/18/2017 22:58:33,582966.884,7720001.324,66.690,0.009,0.017,0.019
