Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss
1R,Rooibos,QHI,,FO,,,,2.6933,,,,Summer,2.2906,Yes,2.414,2.0114,0.17
1G,Green,QHI,,FO,,,,3.388,,,,Summer,1.8325,Yes,3.388,1.8325,0.46
1G,Green,QHI,,WET CONTROL,,,,,,,,Summer,2.0283,Yes,0.000,2.0283,#DIV/0!
2R,Rooibos,QHI,,FO,,,,2.629,,,,Summer,2.3151,Yes,2.629,2.3151,0.12
2G,Green,QHI,,FO,,,,3.3374,,,,Summer,1.7491,Yes,3.337,1.7491,0.48
Wet control G2,Green,QHI,,WET CONTROL,,,,,,,,Summer,1.9075,Yes,0.000,1.9075,#DIV/0!
Wet control R,Rooibos,QHI,,,,,,,,,,Summer,,Yes,0.000,0,#DIV/0!
3R,Rooibos,QHI,,FO,,,,2.6196,,,,Summer,2.2729,Yes,2.620,2.2729,0.13
3G,Green,QHI,,FO,,,,3.3514,,,,Summer,2.0162,Yes,3.351,2.0162,0.40
4R,Rooibos,QHI,,FO,,,,2.7035,,,,Summer,2.4443,Yes,2.704,2.4443,0.10
4G,Green,QHI,,FO,,,,3.3754,,,,Summer,2.1217,Yes,3.375,2.1217,0.37
5R,Rooibos,QHI,,FO,,,,2.8837,,,,Summer,2.3592,Yes,2.884,2.3592,0.18
5G,Green,QHI,,FO,,,,3.2124,,,,Summer,1.5834,Yes,3.212,1.5834,0.51
6R,Rooibos,QHI,,FO,,,,2.6143,,,,Summer,2.0993,Yes,2.614,2.0993,0.20
6G,Green,QHI,,FO,,,,3.261,,,,Summer,1.9363,Yes,3.261,1.9363,0.41
7R,Rooibos,QHI,,FO,,,,2.8176,,,,Summer,2.2306,Yes,2.818,2.2306,0.21
7G,Green,QHI,,FO,,,,3.4558,,,,Summer,1.9162,Yes,3.456,1.9162,0.45
8R,Rooibos,QHI,,FO,,,,2.7274,,,,Summer,2.4413,Yes,2.727,2.4413,0.10
8G,Green,QHI,,FO,,,,3.1968,,,,Summer,2.275,Yes,3.197,2.275,0.29
9R,Rooibos,QHI,,FO,,,,2.7458,,,,Summer,2.321,Yes,2.746,2.321,0.15
9G,Green,QHI,,FO,,,,3.3255,,,,Summer,2.1585,Yes,3.326,2.1585,0.35
10R,Rooibos,QHI,,FO,,,,2.8756,,,,Summer,2.5957,Yes,2.876,2.5957,0.10
10G,Green,QHI,,FO,,,,3.1987,,,,Summer,1.8489,Yes,3.199,1.8489,0.42
11R,Rooibos,QHI,,FO,,,,2.7609,,,,Summer,2.3235,Yes,2.761,2.3235,0.16
11G,Green,QHI,,FO,,,,3.294,,,,Summer,2.0406,Yes,3.294,2.0406,0.38
12R,Rooibos,QHI,,FO,,,,2.6144,,,,Summer,N/A,Yes,2.614,#VALUE!,#VALUE!
12G,Green,QHI,,FO,,,,3.2552,,,,Summer,2.0332,Yes,3.255,2.0332,0.38
13R,Rooibos,QHI,,FO,,,,2.7093,,,,Summer,2.2868,Yes,2.709,2.2868,0.16
13G,Green,QHI,,FO,,,,3.2028,,,,Summer,1.81,Yes,3.203,1.81,0.43
14R,Rooibos,QHI,,FO,,,,2.626,,,,Summer,2.1994,Yes,2.626,2.1994,0.16
14G,Green,QHI,,FO,,,,3.7583,,,,Summer,2.0155,Yes,3.758,2.0155,0.46
15R,Rooibos,QHI,,FO,,,,2.729,,,,Summer,N/A,Yes,2.729,#VALUE!,#VALUE!
15G,Green,QHI,,FO,,,,3.759,,,,Summer,2.4135,Yes,3.759,2.4135,0.36
16R,Rooibos,QHI,,FO,,,,2.7273,,,,Summer,2.2281,Yes,2.727,2.2281,0.18
16G,Green,QHI,,FO,,,,3.3488,,,,Summer,2.0227,Yes,3.349,2.0227,0.40
17R,Rooibos,QHI,,FO,,,,2.6702,,,,Summer,2.2691,Yes,2.670,2.2691,0.15
17G,Green,QHI,,FO,,,,3.4963,,,,Summer,2.2035,Yes,3.496,2.2035,0.37
18R,Rooibos,QHI,,FO,,,,2.6748,,,,Summer,2.1686,Yes,2.675,2.1686,0.19
18G,Green,QHI,,FO,,,,3.1296,,,,Summer,1.8862,Yes,3.130,1.8862,0.40
19R,Rooibos,QHI,,FO,,,,2.7118,,,,Summer,2.227,Yes,2.712,2.227,0.18
19G,Green,QHI,,FO,,,,3.5487,,,,Summer,1.9005,Yes,3.549,1.9005,0.46
20R,Rooibos,QHI,,FO,,,,2.6643,,,,Summer,2.2993,Yes,2.664,2.2993,0.14
20G,Green,QHI,,FO,,,,3.6105,,,,Summer,N/A,Yes,3.611,#VALUE!,#VALUE!
21R,Rooibos,QHI,,FO,,,,2.636,,,,Summer,2.2939,Yes,2.636,2.2939,0.13
21G,Green,QHI,,FO,,,,3.2813,,,,Summer,N/A,Yes,3.281,#VALUE!,#VALUE!
22R,Rooibos,QHI,,FO,,,,2.6865,,,,Summer,N/A,Yes,2.687,#VALUE!,#VALUE!
22G,Green,QHI,,FO,,,,3.1817,,,,Summer,N/A,Yes,3.182,#VALUE!,#VALUE!
23G,Green,QHI,,FO,,,,2.7102,,,,Summer,1.6865,Yes,2.710,1.6865,0.38
23R,Rooibos,QHI,,FO,,,,3.1176,,,,Summer,2.2234,Yes,3.118,2.2234,0.29
24R,Rooibos,QHI,,FO,,,,2.7756,,,,Summer,2.3622,Yes,2.776,2.3622,0.15
24G,Green,QHI,,FO,,,,3.3742,,,,Summer,2.1273,Yes,3.374,2.1273,0.37
25R,Rooibos,QHI,,DG,,,,2.7027,,,,Summer,N/A,Yes,2.703,#VALUE!,#VALUE!
25G,Green,QHI,,DG,,,,3.3842,,,,Summer,2.2702,Yes,3.384,2.2702,0.33
26R,Rooibos,QHI,,DG,,,,2.7292,,,,Summer,2.3398,Yes,2.729,2.3398,0.14
26G,Green,QHI,,DG,,,,3.1782,,,,Summer,2.0907,Yes,3.178,2.0907,0.34
27R,Rooibos,QHI,,DG,,,,2.6532,,,,Summer,N/A,Yes,2.653,#VALUE!,#VALUE!
27G,Green,QHI,,DG,,,,3.2688,,,,Summer,2.1717,Yes,3.269,2.1717,0.34
28R,Rooibos,QHI,,DG,,,,2.6846,,,,Summer,2.3079,Yes,2.685,2.3079,0.14
28G,Green,QHI,,DG,,,,3.1208,,,,Summer,1.8871,Yes,3.121,1.8871,0.40
29R,Rooibos,QHI,,DG,,,,2.7019,,,,Summer,2.3914,Yes,2.702,2.3914,0.11
29G,Green,QHI,,DG,,,,3.145,,,,Summer,2.0909,Yes,3.145,2.0909,0.34
30R,Rooibos,QHI,,DG,,,,2.6583,,,,Summer,2.3174,Yes,2.658,2.3174,0.13
30G,Green,QHI,,DG,,,,3.3156,,,,Summer,1.9268,Yes,3.316,1.9268,0.42
31R,Rooibos,QHI,,DG,,,,2.8803,,,,Summer,2.4597,Yes,2.880,2.4597,0.15
31G,Green,QHI,,DG,,,,3.2932,,,,Summer,2.098,Yes,3.293,2.098,0.36
32R,Rooibos,QHI,,DG,,,,2.9318,,,,Summer,2.5587,Yes,2.932,2.5587,0.13
32G,Green,QHI,,DG,,,,3.2067,,,,Summer,2.1515,Yes,3.207,2.1515,0.33
33R,Rooibos,QHI,,DG,,,,3.7033,,,,Summer,3.2122,Yes,3.703,3.2122,0.13
33G,Green,QHI,,DG,,,,3.4705,,,,Summer,2.3207,Yes,3.471,2.3207,0.33
34R,Rooibos,QHI,,DG,,,,2.9003,,,,Summer,2.4846,Yes,2.900,2.4846,0.14
34G,Green,QHI,,DG,,,,3.2619,,,,Summer,1.9501,Yes,3.262,1.9501,0.40
35R,Rooibos,QHI,,DG,,,,2.6604,,,,Summer,2.2976,Yes,2.660,2.2976,0.14
35G,Green,QHI,,DG,,,,3.3295,,,,Summer,2.1302,Yes,3.330,2.1302,0.36
36R,Rooibos,QHI,,DG,,,,2.7618,,,,Summer,2.4408,Yes,2.762,2.4408,0.12
36G,Green,QHI,,DG,,,,3.2137,,,,Summer,2.1712,Yes,3.214,2.1712,0.32
37R,Rooibos,QHI,,DG,,,,3.1919,,,,Summer,2.7387,Yes,3.192,2.7387,0.14
37G,Green,QHI,,DG,,,,3.2373,,,,Summer,2.1712,Yes,3.237,2.1712,0.33
38R,Rooibos,QHI,,DG,,,,3.0552,,,,Summer,2.563,Yes,3.055,2.563,0.16
38G,Green,QHI,,DG,,,,3.2458,,,,Summer,N/A,Yes,3.246,#VALUE!,#VALUE!
39R,Rooibos,QHI,,DG,,,,2.7322,,,,Summer,2.4259,Yes,2.732,2.4259,0.11
39G,Green,QHI,,DG,,,,3.2479,,,,Summer,2.1881,Yes,3.248,2.1881,0.33
40R,Rooibos,QHI,,DG,,,,2.7576,,,,Summer,2.3427,Yes,2.758,2.3427,0.15
40G,Green,QHI,,DG,,,,3.1767,,,,Summer,N/A,Yes,3.177,#VALUE!,#VALUE!
41R,Rooibos,QHI,,DG,,,,2.626,,,,Summer,2.2381,Yes,2.626,2.2381,0.15
41G,Green,QHI,,DG,,,,3.4915,,,,Summer,2.3378,Yes,3.492,2.3378,0.33
42R,Rooibos,QHI,,DG,,,,2.8559,,,,Summer,2.5242,Yes,2.856,2.5242,0.12
42G,Green,QHI,,DG,,,,3.2336,,,,Summer,N/A,Yes,3.234,#VALUE!,#VALUE!
43R,Rooibos,QHI,,DG,,,,2.6093,,,,Summer,2.2282,Yes,2.609,2.2282,0.15
43G,Green,QHI,,DG,,,,3.3606,,,,Summer,2.1292,Yes,3.361,2.1292,0.37
44R,Rooibos,QHI,,DG,,,,2.7242,,,,Summer,2.4142,Yes,2.724,2.4142,0.11
44G,Green,QHI,,DG,,,,3.524,,,,Summer,2.5129,Yes,3.524,2.5129,0.29
45R,Rooibos,QHI,,DG,,,,3.0597,,,,Summer,N/A,Yes,3.060,#VALUE!,#VALUE!
45G,Green,QHI,,DG,,,,3.5881,,,,Summer,N/A,Yes,3.588,#VALUE!,#VALUE!
46R,Rooibos,QHI,,DG,,,,2.6945,,,,Summer,2.3144,Yes,2.695,2.3144,0.14
46G,Green,QHI,,DG,,,,3.4434,,,,Summer,2.1669,Yes,3.443,2.1669,0.37
47R,Rooibos,QHI,,DG,,,,2.6766,,,,Summer,2.4483,Yes,2.677,2.4483,0.09
47G,Green,QHI,,DG,,,,3.4215,,,,Summer,2.3535,Yes,3.422,2.3535,0.31
48R,Rooibos,QHI,,DG,,,,2.8514,,,,Summer,2.5523,Yes,2.851,2.5523,0.10
48G,Green,QHI,,DG,,,,3.4292,,,,Summer,2.3021,Yes,3.429,2.3021,0.33
49R,Rooibos,QHI,,FP,,,,2.6054,,,,Summer,2.2516,Yes,2.605,2.2516,0.14
49G,Green,QHI,,FP,,,,3.2452,,,,Summer,2.0012,Yes,3.245,2.0012,0.38
50R,Rooibos,QHI,,FP,,,,2.7128,,,,Summer,2.3503,Yes,2.713,2.3503,0.13
50G,Green,QHI,,FP,,,,3.6508,,,,Summer,2.3819,Yes,3.651,2.3819,0.35
51R,Rooibos,QHI,,FP,,,,2.7255,,,,Summer,N/A,Yes,2.726,#VALUE!,#VALUE!
51G,Green,QHI,,FP,,,,3.6743,,,,Summer,N/A,Yes,3.674,#VALUE!,#VALUE!
52R,Rooibos,QHI,,FP,,,,2.6403,,,,Summer,N/A,Yes,2.640,#VALUE!,#VALUE!
52G,Green,QHI,,FP,,,,3.4884,,,,Summer,2.1864,Yes,3.488,2.1864,0.37
53R,Rooibos,QHI,,FP,,,,2.7272,,,,Summer,2.4553,Yes,2.727,2.4553,0.10
53G,Green,QHI,,FP,,,,3.2308,,,,Summer,1.9159,Yes,3.231,1.9159,0.41
54R,Rooibos,QHI,,FP,,,,2.7749,,,,Summer,2.45,Yes,2.775,2.45,0.12
54G,Green,QHI,,FP,,,,3.6845,,,,Summer,2.219,Yes,3.685,2.219,0.40
55R,Rooibos,QHI,,FP,,,,2.6862,,,,Summer,2.3974,Yes,2.686,2.3974,0.11
55G,Green,QHI,,FP,,,,3.3071,,,,Summer,2.0587,Yes,3.307,2.0587,0.38
