"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Soil moisture & thermal sum vs Green Tea Mass Loss","b_Intercept",0.771,0.37,-0.1,1.417
"2","  ","  ","b_Soilmoist_scaled",0.138,0.028,0.083,0.192
"3","  ","  ","b_therm_scaled",0.092,0.371,-0.557,0.963
"4","  ","  ","sd_Plot__Intercept",0.029,0.021,0.001,0.081
"5","  ","  ","sigma",0.117,0.007,0.104,0.133
"6","  ","  ","r_Plot[CHHE,Intercept]",0.002,0.028,-0.051,0.069
"7","  ","  ","r_Plot[CHKO,Intercept]",0.009,0.026,-0.038,0.072
"8","  ","  ","r_Plot[DG,Intercept]",-0.02,0.03,-0.094,0.023
"9","  ","  ","r_Plot[ECN,Intercept]",-0.001,0.021,-0.044,0.043
"10","  ","  ","r_Plot[ECS,Intercept]",0.018,0.024,-0.019,0.074
"11","  ","  ","r_Plot[ECW,Intercept]",-0.021,0.026,-0.082,0.018
"12","  ","  ","r_Plot[FO,Intercept]",0.015,0.024,-0.025,0.071
"13","  ","  ","r_Plot[FP,Intercept]",-0.002,0.023,-0.054,0.044
"14","2","Soil moisture & thermal sum vs Rooibos Tea Mass Loss","b_Intercept",0.495,0.602,-0.775,1.667
"15","  ","  ","b_Soilmoist_scaled",0.096,0.05,-0.005,0.193
"16","  ","  ","b_therm_scaled",0.386,0.605,-0.776,1.679
"17","  ","  ","sd_Plot__Intercept",0.067,0.04,0.007,0.163
"18","  ","  ","sigma",0.165,0.011,0.146,0.188
"19","  ","  ","r_Plot[CHHE,Intercept]",-0.031,0.054,-0.146,0.072
"20","  ","  ","r_Plot[CHKO,Intercept]",0.021,0.049,-0.07,0.131
"21","  ","  ","r_Plot[DG,Intercept]",-0.044,0.054,-0.17,0.042
"22","  ","  ","r_Plot[ECN,Intercept]",0.045,0.043,-0.028,0.14
"23","  ","  ","r_Plot[ECS,Intercept]",-0.003,0.04,-0.088,0.078
"24","  ","  ","r_Plot[ECW,Intercept]",0.014,0.042,-0.068,0.104
"25","  ","  ","r_Plot[FO,Intercept]",0.055,0.051,-0.027,0.167
"26","  ","  ","r_Plot[FP,Intercept]",-0.058,0.052,-0.175,0.021
"27","3","Soil moisture & thermal sum vs Decomposition Rate","b_Intercept",0.783,1.017,-1.102,3.011
"28","  ","  ","b_Soilmoist_scaled",-0.001,0.087,-0.175,0.165
"29","  ","  ","b_therm_scaled",0.162,1.015,-2.03,2.063
"30","  ","  ","sd_Plot__Intercept",0.096,0.067,0.006,0.256
"31","  ","  ","sigma",0.308,0.02,0.273,0.35
"32","  ","  ","r_Plot[CHHE,Intercept]",-0.026,0.087,-0.225,0.137
"33","  ","  ","r_Plot[CHKO,Intercept]",-0.017,0.077,-0.193,0.131
"34","  ","  ","r_Plot[DG,Intercept]",-0.023,0.079,-0.196,0.132
"35","  ","  ","r_Plot[ECN,Intercept]",0.071,0.074,-0.042,0.241
"36","  ","  ","r_Plot[ECS,Intercept]",-0.041,0.071,-0.201,0.086
"37","  ","  ","r_Plot[ECW,Intercept]",0.075,0.079,-0.041,0.257
"38","  ","  ","r_Plot[FO,Intercept]",0.029,0.075,-0.101,0.204
"39","  ","  ","r_Plot[FP,Intercept]",-0.067,0.08,-0.256,0.058
"40","4","Soil moisture & thermal sum vs Stabilisation Factor","b_Intercept",1.161,0.287,0.67,1.849
"41","  ","  ","b_Soilmoist_scaled",-0.108,0.022,-0.152,-0.063
"42","  ","  ","b_therm_scaled",-0.071,0.287,-0.75,0.419
"43","  ","  ","sd_Plot__Intercept",0.023,0.017,0.001,0.067
"44","  ","  ","sigma",0.092,0.006,0.081,0.104
"45","  ","  ","r_Plot[CHHE,Intercept]",-0.001,0.022,-0.054,0.039
"46","  ","  ","r_Plot[CHKO,Intercept]",-0.007,0.02,-0.056,0.028
"47","  ","  ","r_Plot[DG,Intercept]",0.016,0.023,-0.017,0.074
"48","  ","  ","r_Plot[ECN,Intercept]",0.001,0.016,-0.033,0.036
"49","  ","  ","r_Plot[ECS,Intercept]",-0.015,0.019,-0.06,0.014
"50","  ","  ","r_Plot[ECW,Intercept]",0.016,0.02,-0.014,0.064
"51","  ","  ","r_Plot[FO,Intercept]",-0.012,0.019,-0.057,0.019
"52","  ","  ","r_Plot[FP,Intercept]",0.002,0.018,-0.034,0.043
"53","5","Active Layer & thermal sum vs Green Tea Mass Loss","b_Intercept",0.904,0.521,-0.275,1.79
"54","  ","  ","b_ALT_scaled",0.078,0.036,0.008,0.148
"55","  ","  ","b_therm_scaled",0.011,0.53,-0.898,1.207
"56","  ","  ","sd_Plot__Intercept",0.052,0.03,0.008,0.129
"57","  ","  ","sigma",0.123,0.008,0.109,0.139
"58","  ","  ","r_Plot[CHHE,Intercept]",0.001,0.043,-0.077,0.102
"59","  ","  ","r_Plot[CHKO,Intercept]",0.02,0.039,-0.048,0.111
"60","  ","  ","r_Plot[DG,Intercept]",-0.056,0.046,-0.164,0.012
"61","  ","  ","r_Plot[ECN,Intercept]",0.028,0.033,-0.03,0.099
"62","  ","  ","r_Plot[ECS,Intercept]",0.01,0.031,-0.051,0.077
"63","  ","  ","r_Plot[ECW,Intercept]",-0.009,0.033,-0.083,0.052
