"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Soil moisture & thermal sum vs Green Tea Mass Loss","b_Intercept",1.197,0.666,-0.197,2.464
"2","  ","  ","b_Soilmoist_scaled",-0.363,0.656,-1.655,0.925
"3","  ","  ","b_therm_scaled",-0.334,0.666,-1.603,1.056
"4","  ","  ","b_Soilmoist_scaled:therm_scaled",0.501,0.656,-0.786,1.795
"5","  ","  ","sd_Plot__Intercept",0.029,0.022,0.002,0.082
"6","  ","  ","sigma",0.117,0.007,0.104,0.132
"7","  ","  ","r_Plot[CHHE,Intercept]",0,0.028,-0.05,0.066
"8","  ","  ","r_Plot[CHKO,Intercept]",0.01,0.026,-0.035,0.074
"9","  ","  ","r_Plot[DG,Intercept]",-0.018,0.029,-0.089,0.024
"10","  ","  ","r_Plot[ECN,Intercept]",-0.001,0.021,-0.046,0.042
"11","  ","  ","r_Plot[ECS,Intercept]",0.018,0.024,-0.019,0.076
"12","  ","  ","r_Plot[ECW,Intercept]",-0.021,0.026,-0.084,0.016
"13","  ","  ","r_Plot[FO,Intercept]",0.012,0.024,-0.03,0.069
"14","  ","  ","r_Plot[FP,Intercept]",-0.001,0.023,-0.053,0.047
"15","2","Soil moisture & thermal sum vs Rooibos Tea Mass Loss","b_Intercept",0.576,1.04,-1.535,2.556
"16","  ","  ","b_Soilmoist_scaled",0.035,0.992,-1.854,2
"17","  ","  ","b_therm_scaled",0.304,1.046,-1.668,2.442
"18","  ","  ","b_Soilmoist_scaled:therm_scaled",0.061,0.998,-1.916,1.967
"19","  ","  ","sd_Plot__Intercept",0.066,0.041,0.007,0.167
"20","  ","  ","sigma",0.166,0.011,0.146,0.189
"21","  ","  ","r_Plot[CHHE,Intercept]",-0.032,0.055,-0.152,0.072
"22","  ","  ","r_Plot[CHKO,Intercept]",0.019,0.049,-0.074,0.127
"23","  ","  ","r_Plot[DG,Intercept]",-0.042,0.054,-0.165,0.047
"24","  ","  ","r_Plot[ECN,Intercept]",0.045,0.044,-0.026,0.144
"25","  ","  ","r_Plot[ECS,Intercept]",-0.002,0.042,-0.089,0.083
"26","  ","  ","r_Plot[ECW,Intercept]",0.016,0.043,-0.065,0.109
"27","  ","  ","r_Plot[FO,Intercept]",0.056,0.053,-0.026,0.176
"28","  ","  ","r_Plot[FP,Intercept]",-0.056,0.052,-0.174,0.025
"29","3","Soil moisture & thermal sum vs Decomposition Rate","b_Intercept",0.497,1.833,-3.102,4.07
"30","  ","  ","b_Soilmoist_scaled",0.339,1.856,-3.414,4.024
"31","  ","  ","b_therm_scaled",0.453,1.839,-3.124,4.085
"32","  ","  ","b_Soilmoist_scaled:therm_scaled",-0.342,1.865,-4.036,3.414
"33","  ","  ","sd_Plot__Intercept",0.099,0.069,0.007,0.265
"34","  ","  ","sigma",0.31,0.02,0.274,0.352
"35","  ","  ","r_Plot[CHHE,Intercept]",-0.027,0.09,-0.238,0.131
"36","  ","  ","r_Plot[CHKO,Intercept]",-0.02,0.079,-0.2,0.128
"37","  ","  ","r_Plot[DG,Intercept]",-0.028,0.081,-0.212,0.128
"38","  ","  ","r_Plot[ECN,Intercept]",0.07,0.075,-0.045,0.244
"39","  ","  ","r_Plot[ECS,Intercept]",-0.042,0.073,-0.206,0.08
"40","  ","  ","r_Plot[ECW,Intercept]",0.076,0.081,-0.045,0.263
"41","  ","  ","r_Plot[FO,Intercept]",0.033,0.078,-0.1,0.215
